Distance[um],dz[um],Mag_Ex
1.29293,1.56,682159
1.31313,1.56,676944
1.33333,1.56,672321
1.35354,1.56,668304
1.37374,1.56,664905
1.39394,1.56,662133
1.41414,1.56,659996
1.43434,1.56,658501
1.45455,1.56,657652
1.47475,1.56,591452
1.49495,1.56,589931
1.51515,1.56,589169
1.53535,1.56,589175
1.55556,1.56,589957
1.57576,1.56,641656
1.59596,1.56,645847
1.61616,1.56,651912
1.63636,1.56,618643
1.65657,1.56,631619
1.67677,1.56,644601
1.69697,1.56,657588
1.71717,1.56,670579
1.73737,1.56,683574
1.75758,1.56,696572
1.77778,1.56,709574
1.79798,1.56,722578
1.81818,1.56,735584
1.83838,1.56,748592
1.85859,1.56,761603
1.87879,1.56,774615
1.89899,1.56,787629
1.91919,1.56,800644
1.93939,1.56,813661
1.9596,1.56,810949
1.9798,1.56,790407
2,1.56,779065
0,1.58,346506
0.020202,1.58,366223
0.040404,1.58,388077
0.0606061,1.58,411637
0.0808081,1.58,522896
0.10101,1.58,520770
0.121212,1.58,519064
0.141414,1.58,517722
0.161616,1.58,516703
0.181818,1.58,515982
0.20202,1.58,515549
0.222222,1.58,515408
0.242424,1.58,515578
0.262626,1.58,516093
0.282828,1.58,517003
0.30303,1.58,518372
0.323232,1.58,520279
0.343434,1.58,434908
0.363636,1.58,424063
0.383838,1.58,416981
0.40404,1.58,413651
0.424242,1.58,414033
0.444444,1.58,418056
0.464646,1.58,607624
0.484848,1.58,615564
0.505051,1.58,624090
0.525253,1.58,633116
0.545455,1.58,642581
0.565657,1.58,652444
0.585859,1.58,662690
0.606061,1.58,673327
0.626263,1.58,684385
0.646465,1.58,695921
0.666667,1.58,708012
0.686869,1.58,1.43197e+06
0.707071,1.58,1.26903e+06
0.727273,1.58,1.19909e+06
0.747475,1.58,1.1298e+06
0.767677,1.58,1.2163e+06
0.787879,1.58,1.15594e+06
0.808081,1.58,1.09637e+06
0.828283,1.58,1.03773e+06
0.848485,1.58,980167
0.868687,1.58,923887
0.888889,1.58,869121
0.909091,1.58,816142
0.929293,1.58,765260
0.949495,1.58,672560
0.969697,1.58,308280
0.989899,1.58,266279
1.0101,1.58,471160
1.0303,1.58,408364
1.05051,1.58,367592
1.07071,1.58,353623
1.09091,1.58,367927
1.11111,1.58,408664
1.13131,1.58,470688
1.15152,1.58,545543
1.17172,1.58,287352
1.19192,1.58,343374
1.21212,1.58,401030
1.23232,1.58,459820
1.25253,1.58,519321
1.27273,1.58,579189
1.29293,1.58,723385
1.31313,1.58,717960
1.33333,1.58,713090
1.35354,1.58,708792
1.37374,1.58,705080
1.39394,1.58,701966
1.41414,1.58,699463
1.43434,1.58,640827
1.45455,1.58,637188
1.47475,1.58,634208
1.49495,1.58,631893
1.51515,1.58,630253
1.53535,1.58,629292
1.55556,1.58,629017
1.57576,1.58,648765
1.59596,1.58,652445
1.61616,1.58,657909
1.63636,1.58,665162
1.65657,1.58,647811
1.67677,1.58,662204
1.69697,1.58,676615
1.71717,1.58,691044
1.73737,1.58,705491
1.75758,1.58,719955
1.77778,1.58,734437
1.79798,1.58,748935
1.81818,1.58,763449
1.83838,1.58,777980
1.85859,1.58,792528
1.87879,1.58,807091
1.89899,1.58,821671
1.91919,1.58,836266
1.93939,1.58,824493
1.9596,1.58,803981
1.9798,1.58,792482
2,1.58,787744
0,1.6,408420
0.020202,1.6,429395
0.040404,1.6,452075
0.0606061,1.6,476072
0.0808081,1.6,501047
0.10101,1.6,600914
0.121212,1.6,596791
0.141414,1.6,592944
0.161616,1.6,589340
0.181818,1.6,585962
0.20202,1.6,582807
0.222222,1.6,579889
0.242424,1.6,577235
0.262626,1.6,574888
0.282828,1.6,572905
0.30303,1.6,571358
0.323232,1.6,570336
0.343434,1.6,461783
0.363636,1.6,453262
0.383838,1.6,448268
0.40404,1.6,446796
0.424242,1.6,448811
0.444444,1.6,454247
0.464646,1.6,463005
0.484848,1.6,645193
0.505051,1.6,654527
0.525253,1.6,664178
0.545455,1.6,674115
0.565657,1.6,684328
0.585859,1.6,694832
0.606061,1.6,705665
0.626263,1.6,716888
0.646465,1.6,728587
0.666667,1.6,740870
0.686869,1.6,1.39674e+06
0.707071,1.6,1.32653e+06
0.727273,1.6,1.20612e+06
0.747475,1.6,1.13958e+06
0.767677,1.6,1.07363e+06
0.787879,1.6,1.00833e+06
0.808081,1.6,943809
0.828283,1.6,880256
0.848485,1.6,817939
0.868687,1.6,757200
0.888889,1.6,698450
0.909091,1.6,840560
0.929293,1.6,787541
0.949495,1.6,656814
0.969697,1.6,586716
0.989899,1.6,506686
1.0101,1.6,435385
1.0303,1.6,382545
1.05051,1.6,354589
1.07071,1.6,354633
1.09091,1.6,382484
1.11111,1.6,434641
1.13131,1.6,504293
1.15152,1.6,581324
1.17172,1.6,371114
1.19192,1.6,423923
1.21212,1.6,478500
1.23232,1.6,534425
1.25253,1.6,591355
1.27273,1.6,649026
1.29293,1.6,760093
1.31313,1.6,754601
1.33333,1.6,749631
1.35354,1.6,745200
1.37374,1.6,741328
1.39394,1.6,738030
1.41414,1.6,686261
1.43434,1.6,681754
1.45455,1.6,677849
1.47475,1.6,674553
1.49495,1.6,671868
1.51515,1.6,669800
1.53535,1.6,668350
1.55556,1.6,667521
1.57576,1.6,652709
1.59596,1.6,656127
1.61616,1.6,661268
1.63636,1.6,668129
1.65657,1.6,676690
1.67677,1.6,676085
1.69697,1.6,691717
1.71717,1.6,707390
1.73737,1.6,723105
1.75758,1.6,738861
1.77778,1.6,754657
1.79798,1.6,770493
1.81818,1.6,786370
1.83838,1.6,802287
1.85859,1.6,818243
1.87879,1.6,834240
1.89899,1.6,850277
1.91919,1.6,831519
1.93939,1.6,811043
1.9596,1.6,799367
1.9798,1.6,794343
2,1.6,793920
0,1.62,466130
0.020202,1.62,487969
0.040404,1.62,511126
0.0606061,1.62,535257
0.0808081,1.62,560062
0.10101,1.62,585289
0.121212,1.62,672155
0.141414,1.62,666308
0.161616,1.62,660566
0.181818,1.62,654920
0.20202,1.62,649377
0.222222,1.62,643958
0.242424,1.62,638698
0.262626,1.62,633649
0.282828,1.62,628876
0.30303,1.62,624460
0.323232,1.62,499667
0.343434,1.62,489523
0.363636,1.62,482667
0.383838,1.62,479132
0.40404,1.62,478919
0.424242,1.62,481997
0.444444,1.62,488305
0.464646,1.62,497751
0.484848,1.62,510212
0.505051,1.62,673692
0.525253,1.62,684004
0.545455,1.62,694476
0.565657,1.62,705131
0.585859,1.62,716013
0.606061,1.62,727190
0.626263,1.62,738753
0.646465,1.62,750819
0.666667,1.62,1.44549e+06
0.686869,1.62,1.38084e+06
0.707071,1.62,1.32487e+06
0.727273,1.62,1.20648e+06
0.747475,1.62,1.14278e+06
0.767677,1.62,1.07966e+06
0.787879,1.62,1.01712e+06
