Distance[um],dz[um],Mag_Ey_um,Mag_Ey_um
1.89899,1.5,0.570514,0.534621
1.91919,1.5,0.468255,0.442615
1.93939,1.5,0.360149,0.34315
1.9596,1.5,0.24612,0.236224
1.9798,1.5,0.126094,0.121839
2,1.5,0,0
0,1.52,0,0
0.020202,1.52,0.0530752,0.0984779
0.040404,1.52,0.105709,0.192275
0.0606061,1.52,0.666668,0.797494
0.0808081,1.52,0.687986,0.828698
0.10101,1.52,0.710761,0.858965
0.121212,1.52,1.15037,1.21105
0.141414,1.52,1.19339,1.24348
0.161616,1.52,1.23871,1.26995
0.181818,1.52,1.28416,1.29006
0.20202,1.52,1.32783,1.30351
0.222222,1.52,1.3681,1.31008
0.242424,1.52,1.4036,1.30963
0.262626,1.52,1.43323,1.30211
0.282828,1.52,1.45616,1.28754
0.30303,1.52,1.47182,1.26604
0.323232,1.52,1.47993,1.23782
0.343434,1.52,1.48044,1.20314
0.363636,1.52,1.47359,1.16239
0.383838,1.52,1.45989,1.11601
0.40404,1.52,1.44009,1.06453
0.424242,1.52,1.36767,0.980237
0.444444,1.52,1.26504,0.841191
0.464646,1.52,1.1713,0.725232
0.484848,1.52,1.0851,0.632355
0.505051,1.52,1.00525,0.562379
0.525253,1.52,0.930728,0.514946
0.545455,1.52,0.860697,0.489521
0.565657,1.52,0.794489,0.485393
0.585859,1.52,0.869287,0.630461
0.606061,1.52,0.808604,0.701857
0.626263,1.52,0.747986,0.791774
0.646465,1.52,0.688111,0.892979
0.666667,1.52,0.629787,0.996215
0.686869,1.52,0.573948,1.09019
0.707071,1.52,0.521657,1.16161
0.727273,1.52,0.464828,1.14785
0.747475,1.52,0.460251,1.21876
0.767677,1.52,0.493764,1.29594
0.787879,1.52,0.556502,1.37728
0.808081,1.52,0.640861,1.46127
0.828283,1.52,0.740489,1.54701
0.848485,1.52,0.749557,1.54673
0.868687,1.52,0.79209,1.55431
0.888889,1.52,0.835,1.557
0.909091,1.52,0.853625,1.51287
0.929293,1.52,0.835855,1.42729
0.949495,1.52,0.154954,0.467558
