Distance[um],dz[um],Mag_Ez_um,Mag_Ez_um_1
1.19192,1.52,0.414733,0.309547
1.21212,1.52,0.419041,0.192288
1.23232,1.52,0.442503,0.250804
1.25253,1.52,0.805653,0.626628
1.27273,1.52,0.846286,0.615785
1.29293,1.52,0.885765,0.620612
1.31313,1.52,0.92289,0.637248
1.33333,1.52,0.597554,0.55683
1.35354,1.52,0.632799,0.579796
1.37374,1.52,0.669098,0.601857
1.39394,1.52,0.707306,0.623079
1.41414,1.52,0.748224,0.643508
1.43434,1.52,0.792593,0.66316
1.45455,1.52,0.841103,0.682033
1.47475,1.52,0.894385,0.700096
1.49495,1.52,0.953015,0.717296
1.51515,1.52,1.01751,0.733557
1.53535,1.52,1.08834,0.748778
1.55556,1.52,1.36936,1.04553
1.57576,1.52,1.38825,1.00899
1.59596,1.52,1.40349,0.965989
1.61616,1.52,1.41647,0.917042
1.63636,1.52,1.42879,0.862758
1.65657,1.52,1.58848,0.34894
1.67677,1.52,1.56314,0.317252
1.69697,1.52,1.53556,0.290114
1.71717,1.52,1.50586,0.266697
1.73737,1.52,1.47431,0.246221
1.75758,1.52,1.44126,0.227961
1.77778,1.52,1.40715,0.211243
1.79798,1.52,1.37255,0.195443
1.81818,1.52,1.33811,0.179991
1.83838,1.52,1.3046,0.16437
1.85859,1.52,1.27288,0.148112
1.87879,1.52,1.24392,0.130803
1.89899,1.52,0.624882,0.47714
1.91919,1.52,0.446393,0.504059
1.93939,1.52,0.323293,0.533125
1.9596,1.52,0.260175,0.564219
1.9798,1.52,0.26169,0.597168
2,1.52,0.332551,0.63174
0,1.54,1.70055,0.564189
0.020202,1.54,1.82191,0.521823
0.040404,1.54,1.94999,0.529438
0.0606061,1.54,2.12272,0.652303
0.0808081,1.54,2.20707,0.708591
0.10101,1.54,2.28966,0.767078
0.121212,1.54,2.36992,0.826899
0.141414,1.54,2.44736,0.887296
0.161616,1.54,2.37078,0.621192
0.181818,1.54,2.4028,0.683437
0.20202,1.54,2.42871,0.743204
0.222222,1.54,2.4481,0.799477
0.242424,1.54,2.46066,0.851545
0.262626,1.54,2.46617,0.899008
0.282828,1.54,2.46448,0.941772
0.30303,1.54,2.45558,0.980051
0.323232,1.54,2.43952,1.01437
0.343434,1.54,2.41646,1.04555
0.363636,1.54,2.38665,1.07474
0.383838,1.54,2.35044,1.10338
0.40404,1.54,2.30826,1.13322
0.424242,1.54,1.69256,1.08039
0.444444,1.54,1.61932,1.04841
0.464646,1.54,1.55425,1.01924
0.484848,1.54,1.49567,0.992058
0.505051,1.54,1.44201,0.966145
